Rz	Treatment	Replicate	Layer	maxDepth	RDW
19	F-first	6	20-30 cm	30	0.006886
19	F-first	6	30-40 cm	40	0.00319
19	F-first	6	40-50 cm	50	0.000622
19	F-first	6	50-60 cm	60	0.002018
37	F-first	7	0-10 cm	10	0.048325
37	F-first	7	10-20 cm	20	0.01411
37	F-first	7	20-30 cm	30	0.00402
37	F-first	7	30-40 cm	40	0.000983
37	F-first	7	40-50 cm	50	0.001002
37	F-first	7	50-60 cm	60	0.000471
135	L-first	1	0-10 cm	10	0.049145
135	L-first	1	10-20 cm	20	0.013653
135	L-first	1	20-30 cm	30	0.001492
135	L-first	1	30-40 cm	40	0.000822
135	L-first	1	40-50 cm	50	0.000704
135	L-first	1	50-60 cm	60	0.000627
31	L-first	2	0-10 cm	10	0.088279
31	L-first	2	10-20 cm	20	0.022183
31	L-first	2	20-30 cm	30	0.005321
31	L-first	2	30-40 cm	40	0.003693
31	L-first	2	40-50 cm	50	0.003279
31	L-first	2	50-60 cm	60	0.001211
29	L-first	3	0-10 cm	10	0.0660189
29	L-first	3	10-20 cm	20	0.017671
29	L-first	3	20-30 cm	30	0.005181
29	L-first	3	30-40 cm	40	0.003511
29	L-first	3	40-50 cm	50	0.00138
29	L-first	3	50-60 cm	60	0.001042
26	L-first	4	0-10 cm	10	0.089503
26	L-first	4	10-20 cm	20	0.028937
26	L-first	4	20-30 cm	30	0.011628
26	L-first	4	30-40 cm	40	0.007328
26	L-first	4	40-50 cm	50	0.004405
26	L-first	4	50-60 cm	60	0.003641
8	L-first	6	0-10 cm	10	0.062657
8	L-first	6	10-20 cm	20	0.01283
8	L-first	6	20-30 cm	30	0.003124
8	L-first	6	30-40 cm	40	0.001991
8	L-first	6	40-50 cm	50	0.002069
8	L-first	6	50-60 cm	60	0.00198
39	L-first	7	0-10 cm	10	0.063825
39	L-first	7	10-20 cm	20	0.026621
39	L-first	7	20-30 cm	30	0.007032
39	L-first	7	30-40 cm	40	0.00315
39	L-first	7	40-50 cm	50	0.002498
39	L-first	7	50-60 cm	60	0.002476
136	G-first	1	0-10 cm	10	0.11127
136	G-first	1	10-20 cm	20	0.03672
136	G-first	1	20-30 cm	30	0.003428
136	G-first	1	30-40 cm	40	0.001019
136	G-first	1	40-50 cm	50	0.000657
136	G-first	1	50-60 cm	60	0
30	G-first	2	0-10 cm	10	0.05529
30	G-first	2	10-20 cm	20	0.023022
30	G-first	2	20-30 cm	30	0.003237
30	G-first	2	30-40 cm	40	0.000304
30	G-first	2	40-50 cm	50	0
30	G-first	2	50-60 cm	60	0
18	G-first	3	0-10 cm	10	0.066286
18	G-first	3	10-20 cm	20	0.024905
18	G-first	3	20-30 cm	30	0.003831
18	G-first	3	30-40 cm	40	0.000758
18	G-first	3	40-50 cm	50	0.000446
18	G-first	3	50-60 cm	60	0
44	G-first	4	0-10 cm	10	0.093784
44	G-first	4	10-20 cm	20	0.031465
44	G-first	4	20-30 cm	30	0.005586
44	G-first	4	30-40 cm	40	0.001358
44	G-first	4	40-50 cm	50	0
44	G-first	4	50-60 cm	60	0
137	G-first	5	0-10 cm	10	0.060197
137	G-first	5	10-20 cm	20	0.026735
137	G-first	5	20-30 cm	30	0.002192
137	G-first	5	30-40 cm	40	0.00082
137	G-first	5	40-50 cm	50	0.012982
137	G-first	5	50-60 cm	60	0
38	G-first	6	0-10 cm	10	0.06377
38	G-first	6	10-20 cm	20	0.0178
38	G-first	6	20-30 cm	30	0.002014
38	G-first	6	30-40 cm	40	0.000712
38	G-first	6	40-50 cm	50	0.000311
38	G-first	6	50-60 cm	60	0
25	G-first	7	0-10 cm	10	0.051456
25	G-first	7	10-20 cm	20	0.024581
25	G-first	7	20-30 cm	30	0.003339
25	G-first	7	30-40 cm	40	0.000879
25	G-first	7	40-50 cm	50	0
25	G-first	7	50-60 cm	60	0
